Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
34.19336484593838,-75.65976647229915,167.6538629362271,-60.16039175263073,0.1157267419259821
42.74170605742297,-79.44539541113531,66.28950475428611,-80.49408738374423,174.9096735738453
51.29004726890756,-78.83775241561297,62.6498202655505,-80.37088594434834,163.2067251647183
59.83838848039215,-78.70472834323478,56.47845887273991,-80.10248584081999,131.5774185168118
68.38672969187675,-79.09232890203415,66.89806331140207,-79.69847956903307,117.8707231786007
76.93507090336135,-80.38200564483569,76.94386225005961,-81.00782135152201,131.5134935092539
85.48341211484595,-81.04291896320538,57.3508298190172,-81.15201293359597,128.9256635467488
94.03175332633053,-79.93099619276016,39.59742617681959,-80.7551480610737,134.20902605624
102.5800945378151,-80.17772379278372,33.74155823521389,-80.61887455648051,144.2704198497324
111.1284357492997,-81.74014936355917,34.95535887594275,-81.55631478675984,143.4312131776503
119.6767769607843,-81.92904385131678,41.53400890151298,-82.05217329377061,140.18692426746
128.2251181722689,-81.09320254211912,98.20989978629383,-81.70268210859382,142.8191707260042
136.7734593837535,-80.61422824995206,166.8643211663337,-82.08931564847899,149.1389584484356
145.3218005952381,-80.52917685800639,10.26079643370618,-80.86082567572562,148.0849844020139
153.8701418067227,-79.83369728609637,41.03078163452788,-80.59881821393689,141.8580131325185
162.4184830182073,-80.10340884323382,79.96901859854512,-81.04573394027086,139.5702695258011
170.9668242296919,-81.18513068418923,107.6502662802522,-80.2500055868873,138.0123380080218
179.5151654411765,-81.16234989438829,10.00064497698782,-80.50654444785096,139.8771828150598
188.0635066526611,-79.25357778017178,42.26618062943308,-81.51514883662536,152.3747637385863
196.6118478641457,-78.69094779852713,57.50270327737237,-81.69928452970086,160.5706103450816
205.1601890756303,-80.77528726197143,50.29206957409984,-81.35385176768581,162.6757376033757
213.7085302871149,-80.37102076729587,34.47841792267425,-81.73033157837946,163.1608407029937
222.2568714985995,-80.58883241073295,28.16546521220745,-81.74734291551046,144.4971872686595
230.805212710084,-81.07728486828694,24.48434198110193,-80.90587007647009,79.947654352168
239.3535539215686,-81.6276349531681,24.36701538884428,-80.62566979431601,91.71342432874476
247.9018951330532,-80.80750840238397,52.54165171995428,-80.82884557151087,104.859396874455
256.4502363445378,-81.02711134366865,95.53125623692353,-79.58856816756582,95.74988579292092
264.9985775560224,-81.18490034197666,136.955071463984,-78.43154263084107,60.15033315824464
273.546918767507,-81.53275795010228,170.7708998449737,-78.85161686898493,0.1171392411216539
282.0952599789916,-80.58874479500859,13.31394710195655,-80.44739239411319,162.6483047671252
290.6436011904762,-80.90467352140445,28.94164453828076,-79.86953460442101,151.9036277549351
299.1919424019608,-80.53778964158019,33.39314221091278,-81.79084494484592,137.5937968616841
307.7402836134454,-81.11513752162955,28.98970092622837,-80.8500964828945,114.865858285198
316.28862482493,-81.02249921365519,9.752096920617287,-81.72194446000765,33.73351901041937
324.8369660364146,-79.95545309455797,133.4144763104676,-81.73193572281873,58.31938180468543
333.3853072478992,-81.07693414370998,82.3390699046291,-83.07410628893594,149.5557014146965
341.9336484593838,-81.38203755614512,62.82490502399465,-82.60325869678674,166.1587534594711
350.4819896708684,-81.52250942777539,47.31538217428699,-81.72804106078979,176.8683709919266
359.0303308823529,-81.10058443007398,30.7545521660829,-80.67004066980566,29.65128291766361
367.5786720938376,-81.44491505317743,1.40676484822156,-81.09178872385321,91.72054381301994
376.1270133053221,-80.92097264966917,140.9211829583849,-82.02713658015344,112.8611904420883
384.6753545168067,-80.86676026920487,123.5909935798843,-83.06053077659554,117.1222081964914
393.2236957282913,-80.41087696219608,110.4093982698138,-82.47682559076372,98.52881776208108
401.7720369397759,-80.33793196515261,104.6191175085932,-81.5002663259819,69.96337094079352
410.3203781512605,-80.22592925486178,67.58138421378133,-80.85479562938433,44.01465713947904
418.8687193627451,-80.55188268617705,24.26524520489186,-82.37660851857734,30.64245169355102
427.4170605742297,-80.12912610622324,87.27582456003867,-81.07437430349285,37.34610880099821
435.9654017857143,-80.50470970552944,112.1901018026533,-80.45794831675636,109.3864603928661
444.5137429971989,-79.9346727293057,118.0532542447855,-80.6663808892805,155.006699671064
453.0620842086835,-79.04095093019654,115.3136157737248,-82.08466982773585,146.0727350826135
461.6104254201681,-79.12460771716982,75.45424113226791,-82.20369672932286,141.6095931740822
470.1587666316527,-80.48283179512765,5.98335666002678,-82.10540647216109,136.9753814634557
478.7071078431372,-80.56494915950356,166.3112405326552,-81.99088349704846,168.051428703442
487.2554490546219,-80.97411025444714,161.5717529652593,-82.16936208646608,37.12582764384835
495.8037902661064,-80.04035722512299,156.8246511213194,-81.8132383557972,33.89583564424644
504.3521314775911,-80.05549876490674,142.5654758372968,-81.60276573906371,24.14571674019404
512.9004726890756,-79.9375649276523,176.4033939602322,-82.5259898795919,39.88321001046666
521.4488139005603,-79.08124649259868,169.9642477218138,-82.44744149152994,59.11658288103371
529.9971551120449,-80.09621001682122,6.003344311377799,-81.01822678497987,130.2972773309916
538.5454963235294,-79.73971433684554,16.24275552180744,-80.89219974552518,148.9763697584503
547.093837535014,-79.37451762666052,8.86064877880796,-82.3695888885981,111.3981435310935
555.6421787464986,-80.06905905314186,3.105170313358701,-81.24825508601933,52.61427347420365
564.1905199579832,-79.6215549890678,21.15717460530119,-81.29081499357636,24.20535273091354
572.7388611694678,-78.91213540741327,134.3453947466124,-81.22646868634951,28.76743696186907
581.2872023809524,-80.29395162481299,77.71957601996209,-81.9568755521729,38.10028910218534
589.835543592437,-80.78878144179703,45.01954726843127,-82.50777906976066,44.44996743172381
598.3838848039215,-81.87466463644093,33.64844415542845,-81.3948333340185,149.8761957932642
606.9322260154062,-80.67397932789895,23.26827567954482,-81.84965035940978,84.8918686203294
615.4805672268908,-79.7626364761099,9.460848896834722,-82.28910823658774,112.3436590214755
624.0289084383753,-79.52142237135556,175.5119384252196,-82.24755680256095,130.1820244977426
632.5772496498599,-79.81145937416507,152.136802843899,-82.86568679734522,137.504272408725
