Frequency (Hz),Trace 1 (dB),Phase (deg),Trace 2 (dB),Phase (deg)
34.19336484593838,-74.7323912858587,10.50746085729927,-79.5781152307367,146.3845251178728
42.74170605742297,-79.92132763133549,175.7126504917231,-82.4211137413937,149.6837724089054
51.29004726890756,-80.35576117569281,150.7652705671497,-81.5168087546237,11.62897444862258
59.83838848039215,-80.11788041567387,145.6170258629492,-80.95869148049397,58.25182423670493
68.38672969187675,-80.99308940820626,150.7290114277196,-81.47933513343845,80.76702820420219
76.93507090336135,-80.45026513133982,4.018147595797497,-81.96112224347866,90.06961579022985
85.48341211484595,-80.89853895178334,101.4075650350319,-83.07298052402957,99.81218265087048
94.03175332633053,-81.35947666311851,112.1226798660452,-81.32421617474093,127.5524304371866
102.5800945378151,-81.63467564112464,130.3029026234546,-81.09957147147362,153.1259469631401
111.1284357492997,-81.52401214250888,156.1399463584392,-81.14915053344771,165.7397059837908
119.6767769607843,-81.65917810602805,153.0152670126593,-81.05554058575676,9.21900689578025
128.2251181722689,-80.11607803468135,103.7414104439937,-81.73781745378777,65.7650564967775
136.7734593837535,-79.53751761698395,80.40706142823701,-82.40139038310372,126.1820699623797
145.3218005952381,-80.47162891670257,60.80669612970193,-81.41949145179197,137.3470453175691
153.8701418067227,-81.0435376487597,44.17427473488133,-81.2356977179638,130.699067395697
162.4184830182073,-80.09185173043034,35.72856123999653,-81.54304646311701,121.0889603038664
170.9668242296919,-80.11498526758983,22.99254901068145,-82.05215960805893,105.1272402894379
179.5151654411765,-79.40050300043696,1.360225051076607,-82.0608818943623,86.73636464394698
188.0635066526611,-79.09296739704943,146.5876936380272,-82.40434206513642,33.08587185398588
196.6118478641457,-79.48408373867429,103.5318839032572,-82.33263230879874,145.2846142829457
205.1601890756303,-80.04517167366393,89.4075843714556,-81.98592994165394,126.1938641007394
213.7085302871149,-80.94403759008246,84.78416795048476,-82.72814585372784,81.93487732403294
222.2568714985995,-80.75031632219121,88.21796110020911,-83.00730141743487,33.92873951339035
230.805212710084,-80.41371259891096,91.13985667429675,-82.74405985576348,15.36033518498492
239.3535539215686,-80.45961549882284,92.46147378054172,-82.07685194695304,16.2178172383911
247.9018951330532,-80.16608868675169,104.7704641987635,-82.81253950215859,1.730401388703546
256.4502363445378,-80.64112074727234,171.6707289116941,-80.26325101912565,105.7784467789197
264.9985775560224,-80.99374607805154,30.72914054350391,-78.66090962462296,76.37772720657803
273.546918767507,-81.8127445066641,40.9073900378234,-78.45938395041536,78.32818722949014
282.0952599789916,-81.36678681849736,72.96201234109461,-79.89269622143061,80.7847408073453
290.6436011904762,-81.08297682446707,126.8855005470819,-80.91099942398827,85.19742561833382
299.1919424019608,-81.19963106716625,151.4467609474826,-81.33028003957779,94.14833806918588
307.7402836134454,-81.45195722836038,158.2796103881346,-83.05337161845058,108.7309394239402
316.28862482493,-80.94127987289481,167.3179555409787,-82.85044226513651,130.1461717108583
324.8369660364146,-79.96899878079284,176.2041943105682,-81.97935424629982,161.2560488063552
333.3853072478992,-79.88398150004572,179.5794383271317,-82.15439767332313,26.07304856597753
341.9336484593838,-80.76593255319264,179.4872650727549,-81.4900288979713,35.91195961382969
350.4819896708684,-80.29139634249452,169.5796527874803,-81.26395273251839,57.58093688760056
359.0303308823529,-80.0684854713039,152.8815306671126,-83.61672628642756,80.05051902188799
367.5786720938376,-80.87150058373405,155.443744464926,-84.0610699729651,69.66101792736437
376.1270133053221,-81.4651358674073,1.275767847189704,-82.92393441157104,81.31127934962866
384.6753545168067,-80.62972982025923,21.98205807377923,-82.80492563063453,102.2918917991179
393.2236957282913,-81.14912212200495,38.79172708470467,-82.09409166097305,117.3759157305992
401.7720369397759,-79.73566861253624,58.51838946545929,-82.54973413981803,156.0500636335781
410.3203781512605,-79.20038194987885,82.74151985304253,-82.22287212267335,0.5953708283359992
418.8687193627451,-80.78989042349173,107.7388299311139,-83.01971884182817,20.38285440202793
427.4170605742297,-80.9435652648615,108.4303849829315,-82.22406497273306,32.5803101231733
435.9654017857143,-79.94069044749841,93.53596090630272,-81.25361299054946,43.43750931046763
444.5137429971989,-79.14871639154475,77.44344234593213,-81.89073328231841,62.34655636433865
453.0620842086835,-79.2710294095845,68.70596987657288,-82.5382652480446,65.81085556146357
461.6104254201681,-80.57594238603345,83.33217836862737,-81.96700812914173,52.3287673513146
470.1587666316527,-81.3743879531237,32.86181924916982,-81.54750369717641,38.81286830651835
